expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,,job_id,company_id
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,www.applicantpro.com,0,FULL_TIME,USD,BASE_SALARY,,2148434909,6600327
1.7E+12,1.69E+12,Unknown,Unknown,1.69E+12,Unknown,0,INTERNSHIP,USD,BASE_SALARY,,2282679989,21514196
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,2448418468,6910
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,2481100553,9730586
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,2517244756,71384354
1.7E+12,Unknown,Director,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,2634247615,61400
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,2649106600,10496448
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,2730408164,77169664
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,INTERNSHIP,Unknown,Unknown,,2764358929,73828006
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,USD,BASE_SALARY,,2885838641,68746191
1.7E+12,1.69E+12,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3047547711,69660814
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3099261661,6274163
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3108036575,81922135
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3192471360,131915
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3243289926,62804
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3268185281,1889003
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3313349770,3149515
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3326588170,2937626
1.71E+12,Unknown,Associate,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3373346816,3628379
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,PART_TIME,USD,BASE_SALARY,,3378133231,81149246
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3395626440,18192301
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3396803783,84939936
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3419060873,290727
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3422104915,70803322
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3442372601,44786
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3487275706,106551
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3497509795,10033339
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3497543368,308409
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3529464114,3928505
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3532222332,-1
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3532827942,4376443
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3538940637,36019672
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3557311439,9817526
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,PART_TIME,USD,BASE_SALARY,,3557380225,2878362
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3558876274,-1
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3562282884,58569536
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3564601168,35696106
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3568598527,543150
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3580193834,210234
1.7E+12,Unknown,Executive,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3584068782,583005
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3586162459,69642092
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3587706348,11034338
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3587919328,2680550
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3596450056,10937173
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3601203087,82327978
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3601423875,3566984
1.7E+12,1.69E+12,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3603640939,89737107
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3606156203,2803017
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3618024320,35444763
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3623811800,84855353
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3626156340,18496094
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3627129770,10229031
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3630997404,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3634090513,82591929
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,PART_TIME,USD,BASE_SALARY,,3635154108,2144424
1.7E+12,Unknown,Associate,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3636503102,408636
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3637608593,11768999
1.7E+12,1.69E+12,Mid-Senior level,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3638837564,1215629
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3640739067,8593
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3643209562,1981697
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,PART_TIME,USD,BASE_SALARY,,3643371518,93094245
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3644109811,20397
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3644195109,-1
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,careers-counterpart.icims.com,1,FULL_TIME,Unknown,Unknown,,3653922092,163227
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3655655364,82884837
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3655683358,18546466
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3657070723,15907041
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3666015999,72739246
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,CONTRACT,Unknown,Unknown,,3666945557,95734747
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3668771880,10279563
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,USD,BASE_SALARY,,3669525119,90666319
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3669562617,436163
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3670078576,-1
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3670740369,750072
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3673294109,750072
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3674000415,278493
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3674585247,54819446
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3675787336,1313100
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,workforcenow.adp.com,0,FULL_TIME,Unknown,Unknown,,3675787480,3534837
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3676480207,2220929
1.7E+12,1.69E+12,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3677721266,313823
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,USD,BASE_SALARY,,3678500518,440105
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3679202159,5081590
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,OTHER,Unknown,Unknown,,3680144775,90403412
1.7E+12,Unknown,Director,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3680164564,6648075
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3680177756,1313822
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3680807523,15083522
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3680971274,1550444
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3681440546,3194825
1.7E+12,Unknown,Executive,Unknown,1.69E+12,Unknown,0,CONTRACT,USD,BASE_SALARY,,3682818140,68921004
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,jobs.smartrecruiters.com,1,FULL_TIME,Unknown,Unknown,,3683918914,252624
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,jobs.smartrecruiters.com,1,FULL_TIME,Unknown,Unknown,,3683926341,252624
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3684010877,16318
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3684017664,35521693
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3684441939,9260752
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3684448047,2214679
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3684455234,35512060
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3684464103,13391879
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3684955684,1012693
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3685418185,18106858
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3687024983,217273
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,3687065358,14467750
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3687520079,1268739
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3688319458,98106539
1.7E+12,Unknown,Associate,Unknown,1.69E+12,jobs.smartrecruiters.com,1,FULL_TIME,Unknown,Unknown,,3688980245,252624
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,USD,BASE_SALARY,,3689394048,28966001
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3689398039,10632734
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3689601907,-1
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,jobs.smartrecruiters.com,1,FULL_TIME,Unknown,Unknown,,3689674972,252624
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,jobs.smartrecruiters.com,1,FULL_TIME,USD,BASE_SALARY,,3689687080,252624
1.7E+12,1.69E+12,Unknown,Unknown,1.69E+12,Unknown,0,PART_TIME,Unknown,Unknown,,3689701585,82559090
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,INTERNSHIP,USD,BASE_SALARY,,3690290550,1815139
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690417417,5059324
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690418699,5059324
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690420325,559761
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690458930,9682879
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690460845,734180
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690463255,7307355
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690464010,11032952
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690464312,25073964
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690466064,79239
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690468614,27792
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690470734,63010
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690471580,4754521
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690472919,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690489493,3602072
1.69E+12,Unknown,Entry level,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690492617,1228217
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690494629,18801226
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,PART_TIME,Unknown,Unknown,,3690496660,8520024
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690601234,18801226
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690604864,6369906
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690610800,27111495
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690611859,81535497
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690613145,1342014
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690614159,7291754
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690622639,2934272
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690627674,30150412
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690635702,78060358
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,OTHER,Unknown,Unknown,,3690637337,19117909
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690650655,255406
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690652915,285027
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690661006,40692536
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690663520,11555975
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690664476,301266
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690664657,922460
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690665137,11001662
1.69E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,phe.tbe.taleo.net,1,FULL_TIME,Unknown,Unknown,,3690665864,51716
1.69E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,careers.pods.com,0,FULL_TIME,Unknown,Unknown,,3690668153,25963
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690671085,2651262
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690671366,1536527
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,OTHER,Unknown,Unknown,,3690671407,54945276
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690673180,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690673578,72628508
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690674396,70101837
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690679726,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690689188,27241994
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,TEMPORARY,Unknown,Unknown,,3690692186,61242
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690697852,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690699783,9599126
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690699930,9599126
1.69E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3690804650,260776
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690808251,2945366
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690809682,9599126
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690811863,64256270
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690813079,16251153
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3690813856,1476408
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690815771,461301
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690819024,153682
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3690821627,90636422
1.69E+12,Unknown,Associate,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690825634,80998774
1.69E+12,Unknown,Associate,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690828940,71558880
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690830913,29037477
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3690832043,965922
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3690834347,84013022
1.69E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690835135,1505704
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690835330,11234188
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690836590,74886057
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690836861,56861
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,USD,BASE_SALARY,,3690837484,-1
1.69E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690838132,1505704
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,3690840013,14015698
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,3690840360,2692195
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,3690840799,10223966
